pattern_idx,pattern,match_count,n_genomes,time_s,mem_gb,precision,recall,f1
1,#__,1,48,29.948125,7.4754166666666615,0.6236250000000001,0.7335020833333337,0.5720208333333335
11,#____________,1,48,15.63770833333333,3.588333333333335,0.62076875,0.3651104166666667,0.38150625000000016
21,#______________________,1,48,11.849166666666664,2.7743749999999996,0.0,0.0,0.0
16,#_________________,1,49,13.992857142857142,3.3575510204081604,0.0,0.0,0.0
26,#___________________________,1,49,12.03061224489796,2.7759183673469376,0.0,0.0,0.0
6,#_______,1,49,18.896122448979582,4.66081632653061,0.6305469387755103,0.5497530612244897,0.491508163265306
5,#______,1,49,19.236326530612242,4.659795918367346,0.6357999999999999,0.5502591836734689,0.49591632653061235
15,#________________,1,49,15.34326530612245,3.588163265306125,0.6251142857142856,0.3613224489795918,0.37917551020408163
25,#__________________________,1,49,12.253265306122449,2.7755102040816313,0.0,0.0,0.0
13,#______________,1,49,15.419999999999996,3.5875510204081653,0.6285979591836734,0.3624979591836734,0.38436938775510204
23,#________________________,1,49,11.930816326530618,2.775510204081632,0.0,0.0,0.0
3,#____,1,49,23.988775510204082,5.541632653061223,0.6314693877551019,0.7510755102040817,0.582561224489796
2,#___,1,49,27.762448979591838,7.0720408163265285,0.6330285714285712,0.6996918367346937,0.5633408163265303
12,#_____________,1,49,15.650612244897962,3.5869387755102062,0.6280408163265307,0.36303673469387737,0.38382448979591854
22,#_______________________,1,49,11.882040816326532,2.775306122448979,0.0,0.0,0.0
8,#_________,1,49,18.366938775510203,4.428979591836737,0.6332102040816328,0.7300306122448981,0.5741142857142855
18,#___________________,1,49,14.271020408163267,3.3567346938775477,0.0,0.0,0.0
28,#_____________________________,1,49,11.94163265306122,2.775714285714285,0.0,0.0,0.0
0,#_,1,46,41.59826086956523,11.378478260869569,0.6011369565217393,0.78275,0.5764586956521737
10,#___________,1,46,15.639565217391304,3.588478260869567,0.6129608695652174,0.3692108695652176,0.3830869565217391
20,#_____________________,1,46,11.805217391304348,2.773478260869564,0.0,0.0,0.0
19,#____________________,1,49,11.971428571428572,2.7759183673469376,0.0,0.0,0.0
29,#______________________________,1,49,12.01938775510204,2.7759183673469376,0.0,0.0,0.0
9,#__________,1,49,17.330408163265304,3.587755102040819,0.6295693877551021,0.3669020408163265,0.3842428571428571
7,#________,1,49,17.8534693877551,4.427551020408166,0.628930612244898,0.3692122448979592,0.383761224489796
17,#__________________,1,49,14.031428571428574,3.356938775510201,0.0,0.0,0.0
27,#____________________________,1,49,11.819795918367346,2.7759183673469376,0.0,0.0,0.0
4,#_____,1,49,21.096326530612245,4.981836734693878,0.6355448979591838,0.5546102040816329,0.49612857142857136
14,#_______________,1,49,15.670816326530613,3.5877551020408185,0.6251877551020409,0.3634122448979591,0.38155306122448995
24,#_________________________,1,49,11.922653061224493,2.7759183673469376,0.0,0.0,0.0
31,##__,2,48,41.471875000000004,11.354375000000003,0.6190583333333334,0.7650604166666666,0.5816416666666668
41,##____________,2,48,20.981458333333332,4.975625,0.6231645833333334,0.5105583333333329,0.4694562499999999
51,##______________________,2,48,13.785208333333337,3.3560416666666644,0.0,0.0,0.0
36,##_______,2,49,25.637346938775515,6.654897959183676,0.6335224489795916,0.7319877551020406,0.5751367346938775
46,##_________________,2,49,18.397551020408162,4.5230612244898,0.0,0.0,0.0
56,##___________________________,2,49,13.934897959183674,3.3563265306122423,0.0,0.0,0.0
35,##______,2,49,27.074285714285704,7.068979591836733,0.629077551020408,0.6756244897959187,0.5498999999999998
45,##________________,2,49,18.161224489795924,4.523877551020412,0.0,0.0,0.0
55,##__________________________,2,49,14.172857142857142,3.356530612244895,0.0,0.0,0.0
33,##____,2,49,31.130408163265308,7.653673469387755,0.6348999999999999,0.6767285714285715,0.553787755102041
43,##______________,2,49,20.7730612244898,4.973061224489796,0.6259918367346939,0.5102081632653064,0.46590816326530626
53,##________________________,2,49,14.255714285714285,3.3567346938775486,0.0,0.0,0.0
32,##___,2,49,34.71387755102041,8.173673469387758,0.6258020408163267,0.7636816326530612,0.5848102040816324
42,##_____________,2,49,20.936734693877554,4.973673469387756,0.6264306122448978,0.5011877551020404,0.4665326530612243
52,##_______________________,2,49,13.721020408163264,3.3569387755102014,0.0,0.0,0.0
38,##_________,2,49,20.76326530612246,4.974897959183673,0.6309102040816326,0.5056571428571431,0.4696959183673469
48,##___________________,2,49,14.121428571428572,3.3575510204081613,0.0,0.0,0.0
58,##_____________________________,2,49,14.045714285714281,3.3573469387755073,0.0,0.0,0.0
30,##_,2,46,47.81086956521739,12.617608695652171,0.6006282608695652,0.7837239130434783,0.5764695652173915
40,##___________,2,46,20.695869565217386,4.979565217391304,0.6096717391304348,0.5195282608695648,0.46521521739130417
50,##_____________________,2,46,14.021304347826085,3.353913043478259,0.0,0.0,0.0
39,##__________,2,49,20.769183673469385,4.974489795918367,0.6329367346938773,0.5108102040816326,0.47229591836734663
49,##____________________,2,49,14.188775510204083,3.3563265306122423,0.0,0.0,0.0
59,##______________________________,2,49,14.003673469387756,3.3563265306122414,0.0,0.0,0.0
37,##________,2,49,23.189183673469383,5.301836734693882,0.6338387755102042,0.7315204081632651,0.5750734693877552
47,##__________________,2,49,16.262040816326532,4.1965306122448975,0.0,0.0,0.0
57,##____________________________,2,49,13.963877551020412,3.357142857142854,0.0,0.0,0.0
34,##_____,2,49,27.08551020408163,7.039183673469386,0.6315857142857142,0.674914285714286,0.5523346938775509
44,##_______________,2,49,19.85244897959184,4.750816326530614,0.6251142857142856,0.3613224489795918,0.37917551020408163
54,##_________________________,2,49,14.137551020408166,3.356530612244895,0.0,0.0,0.0
61,###__,3,48,46.26791666666667,12.434583333333334,0.6146625,0.7829375000000001,0.5866604166666666
71,###____________,3,48,26.97875,7.098541666666666,0.6258145833333334,0.6797562500000002,0.5518124999999998
81,###______________________,3,48,17.62333333333334,4.428750000000002,0.6095583333333332,0.34867916666666665,0.3666770833333335
66,###_______,3,49,29.585306122448987,7.366938775510206,0.6313714285714283,0.7495979591836738,0.5821102040816326
76,###_________________,3,49,20.260408163265307,4.751020408163266,0.6159755102040815,0.34681632653061223,0.3674102040816328
86,###___________________________,3,49,18.32775510204082,4.4273469387755116,0.6159755102040815,0.34681632653061223,0.3674102040816328
65,###______,3,49,33.52551020408164,7.995510204081631,0.6319999999999999,0.7472367346938773,0.5813183673469384
75,###________________,3,49,21.978571428571428,5.075918367346941,0.6159755102040815,0.34681632653061223,0.3674102040816328
85,###__________________________,3,49,17.919387755102044,4.4273469387755116,0.6159755102040815,0.34681632653061223,0.3674102040816328
63,###____,3,49,34.940612244897956,8.576938775510206,0.6277897959183675,0.7508897959183671,0.5820367346938773
73,###______________,3,49,25.725306122448973,6.667142857142853,0.6338693877551019,0.5473551020408163,0.4924938775510203
83,###________________________,3,49,17.71979591836735,4.4273469387755116,0.6159755102040815,0.34681632653061223,0.3674102040816328
62,###___,3,49,42.85510204081633,11.589591836734694,0.6290938775510204,0.7473448979591837,0.580818367346939
72,###_____________,3,49,26.585306122448976,6.90632653061224,0.6323693877551019,0.6324489795918371,0.5323163265306121
82,###_______________________,3,49,17.873673469387757,4.427346938775513,0.6159755102040815,0.34681632653061223,0.3674102040816328
68,###_________,3,49,27.277346938775505,7.073061224489796,0.6334714285714287,0.6785020408163263,0.5541673469387753
78,###___________________,3,49,17.822448979591837,4.428163265306124,0.6159755102040815,0.34681632653061223,0.3674102040816328
88,###_____________________________,3,49,17.83632653061224,4.4279591836734715,0.6159755102040815,0.34681632653061223,0.3674102040816328
60,###_,3,46,53.000434782608686,13.481739130434777,0.5982630434782608,0.7901695652173915,0.577834782608696
70,###___________,3,46,26.957173913043484,7.106086956521739,0.6102913043478262,0.6812739130434785,0.5433760869565216
80,###_____________________,3,46,18.079130434782606,4.427391304347827,0.5956934782608695,0.3517021739130434,0.36396739130434796
69,###__________,3,49,27.076326530612242,7.084081632653059,0.6322163265306121,0.6787979591836737,0.5537285714285712
79,###____________________,3,49,17.961428571428584,4.428367346938778,0.6159755102040815,0.34681632653061223,0.3674102040816328
89,###______________________________,3,49,17.920816326530613,4.427142857142859,0.6159755102040815,0.34681632653061223,0.3674102040816328
67,###________,3,49,27.05244897959183,7.059183673469387,0.6319571428571428,0.6743510204081631,0.5508938775510206
77,###__________________,3,49,17.887551020408157,4.4279591836734715,0.6159755102040815,0.34681632653061223,0.3674102040816328
87,###____________________________,3,49,17.81612244897959,4.427551020408165,0.6159755102040815,0.34681632653061223,0.3674102040816328
64,###_____,3,49,34.83020408163265,8.372040816326535,0.627295918367347,0.7692897959183673,0.588726530612245
74,###_______________,3,49,24.73632653061225,6.429795918367347,0.6159755102040815,0.34681632653061223,0.3674102040816328
84,###_________________________,3,49,17.925510204081625,4.42775510204082,0.6159755102040815,0.34681632653061223,0.3674102040816328
91,####__,4,48,50.180625,13.019583333333335,0.6175229166666668,0.7706812499999997,0.5837895833333332
101,####____________,4,48,31.77041666666666,7.779375000000002,0.6238333333333334,0.6919958333333338,0.5538958333333335
111,####______________________,4,48,20.47854166666667,4.976250000000001,0.613375,0.5027125000000001,0.45722500000000005
96,####_______,4,49,32.336938775510205,8.073673469387751,0.6285244897959185,0.7345387755102042,0.5749346938775513
106,####_________________,4,49,20.786122448979583,4.974081632653062,0.6198857142857143,0.4999122448979593,0.45861020408163267
116,####___________________________,4,49,20.880408163265304,4.9746938775510205,0.6198857142857143,0.4999122448979593,0.45861020408163267
95,####______,4,49,34.37163265306123,8.297551020408168,0.6262183673469389,0.7615795918367348,0.5845040816326528
105,####________________,4,49,22.841836734693878,5.298367346938775,0.6198857142857143,0.4999122448979593,0.45861020408163267
115,####__________________________,4,49,20.762040816326525,4.974285714285714,0.6198857142857143,0.4999122448979593,0.45861020408163267
93,####____,4,49,43.58326530612245,11.671020408163272,0.6249265306122448,0.7764387755102043,0.5906326530612241
103,####______________,4,49,27.52897959183673,6.977142857142857,0.6198857142857143,0.4999122448979593,0.45861020408163267
113,####________________________,4,49,20.41632653061224,4.973673469387755,0.6198857142857143,0.4999122448979593,0.45861020408163267
92,####___,4,49,44.37163265306123,12.115102040816328,0.6222551020408162,0.7823142857142855,0.5920244897959183
102,####_____________,4,49,31.19367346938776,7.554081632653067,0.6326857142857143,0.6317918367346935,0.5321142857142855
112,####_______________________,4,49,20.819183673469393,4.972857142857144,0.6198857142857143,0.4999122448979593,0.45861020408163267
98,####_________,4,49,32.4657142857143,8.15632653061224,0.6285408163265307,0.7398224489795922,0.5777265306122448
108,####___________________,4,49,20.842857142857145,4.973673469387755,0.6198857142857143,0.4999122448979593,0.45861020408163267
118,####_____________________________,4,49,21.62102040816326,4.973877551020408,0.6198857142857143,0.4999122448979593,0.45861020408163267
90,####_,4,46,55.408695652173904,13.808478260869567,0.597445652173913,0.7916891304347827,0.5780586956521738
100,####___________,4,46,32.221304347826084,7.797391304347824,0.6085021739130435,0.7270782608695652,0.5599260869565217
110,####_____________________,4,46,20.796956521739126,4.979782608695653,0.5994608695652174,0.5073108695652175,0.4529021739130435
99,####__________,4,49,32.550612244897955,8.17632653061224,0.6290612244897958,0.7391102040816332,0.5791142857142857
109,####____________________,4,49,21.00755102040816,4.972857142857144,0.6198857142857143,0.4999122448979593,0.45861020408163267
119,####______________________________,4,49,20.659387755102046,4.973469387755102,0.6198857142857143,0.4999122448979593,0.45861020408163267
97,####________,4,49,32.64163265306123,8.12959183673469,0.6290448979591836,0.7361265306122448,0.5770204081632653
107,####__________________,4,49,21.322448979591837,4.974489795918368,0.6198857142857143,0.4999122448979593,0.45861020408163267
117,####____________________________,4,49,20.737755102040815,4.973877551020408,0.6198857142857143,0.4999122448979593,0.45861020408163267
94,####_____,4,49,39.18306122448981,10.884693877551022,0.6270510204081631,0.7582122448979591,0.5833653061224487
104,####_______________,4,49,25.731632653061226,6.653673469387757,0.6198857142857143,0.4999122448979593,0.45861020408163267
114,####_________________________,4,49,20.760612244897967,4.973877551020409,0.6198857142857143,0.4999122448979593,0.45861020408163267
121,#####__,5,48,50.71354166666666,13.158749999999998,0.6143979166666667,0.7875958333333332,0.5887333333333336
131,#####____________,5,48,33.06604166666667,8.069791666666664,0.6258229166666667,0.6825937499999997,0.551947916666667
141,#####______________________,5,48,23.35416666666666,5.519166666666666,0.6168374999999998,0.590770833333333,0.5035666666666669
126,#####_______,5,49,38.01755102040816,8.96469387755102,0.6262530612244899,0.7619408163265305,0.5868428571428574
136,#####_________________,5,49,23.374489795918365,5.51530612244898,0.6233857142857141,0.587555102040816,0.5053836734693881
146,#####___________________________,5,49,23.49571428571429,5.516326530612244,0.6233857142857141,0.587555102040816,0.5053836734693881
125,#####______,5,49,37.59734693877551,8.958571428571435,0.626,0.7595306122448979,0.5847693877551023
135,#####________________,5,49,23.368367346938783,5.517142857142857,0.6233857142857141,0.587555102040816,0.5053836734693881
145,#####__________________________,5,49,23.74,5.515714285714287,0.6233857142857141,0.587555102040816,0.5053836734693881
123,#####____,5,49,45.60591836734693,11.988979591836726,0.6246224489795917,0.7661122448979593,0.5857081632653061
133,#####______________,5,49,28.436530612244905,7.196122448979587,0.6233857142857141,0.587555102040816,0.5053836734693881
143,#####________________________,5,49,23.283265306122445,5.515102040816325,0.6233857142857141,0.587555102040816,0.5053836734693881
122,#####___,5,49,50.389183673469375,13.07591836734694,0.6232938775510203,0.7809979591836738,0.5918632653061222
132,#####_____________,5,49,30.47326530612246,7.520612244897965,0.6233857142857141,0.587555102040816,0.5053836734693881
142,#####_______________________,5,49,23.442448979591834,5.517959183673468,0.6233857142857141,0.587555102040816,0.5053836734693881
128,#####_________,5,49,37.55918367346939,8.947755102040823,0.6271857142857143,0.7551387755102038,0.5852081632653063
138,#####___________________,5,49,23.539795918367346,5.5161224489795915,0.6233857142857141,0.587555102040816,0.5053836734693881
148,#####_____________________________,5,49,23.307755102040815,5.516326530612246,0.6233857142857141,0.587555102040816,0.5053836734693881
120,#####_,5,46,57.79978260869565,14.134999999999998,0.5981978260869565,0.7881782608695653,0.5768826086956523
130,#####___________,5,46,36.045434782608694,8.445652173913047,0.6079739130434783,0.7280978260869565,0.5593826086956524
140,#####_____________________,5,46,23.719565217391306,5.526956521739131,0.6028478260869563,0.596023913043478,0.49824782608695684
129,#####__________,5,49,36.8865306122449,8.843469387755107,0.628030612244898,0.7404632653061223,0.5794653061224488
139,#####____________________,5,49,23.77265306122448,5.515714285714287,0.6233857142857141,0.587555102040816,0.5053836734693881
149,#####______________________________,5,49,23.674897959183667,5.515510204081632,0.6233857142857141,0.587555102040816,0.5053836734693881
127,#####________,5,49,37.837142857142865,8.974897959183668,0.6258755102040815,0.7657510204081633,0.5881367346938777
137,#####__________________,5,49,23.274285714285707,5.516530612244898,0.6233857142857141,0.587555102040816,0.5053836734693881
147,#####____________________________,5,49,23.442857142857136,5.51673469387755,0.6233857142857141,0.587555102040816,0.5053836734693881
124,#####_____,5,49,41.16673469387754,11.34387755102041,0.6242877551020407,0.7698122448979593,0.5877387755102041
134,#####_______________,5,49,26.008163265306123,6.873469387755097,0.6233857142857141,0.587555102040816,0.5053836734693881
144,#####_________________________,5,49,23.385714285714283,5.515714285714287,0.6233857142857141,0.587555102040816,0.5053836734693881
151,######__,6,48,54.800625,13.807708333333336,0.6143000000000001,0.7865729166666667,0.5881083333333335
161,######____________,6,48,32.760416666666664,7.937916666666669,0.6188291666666667,0.6500750000000002,0.5312458333333331
171,######______________________,6,48,26.74833333333334,6.963749999999997,0.6188291666666667,0.6500750000000002,0.5312458333333331
156,######_______,6,49,43.43081632653062,11.99183673469388,0.6243204081632654,0.7732448979591835,0.5905999999999996
166,######_________________,6,49,26.71020408163266,6.958979591836733,0.6254020408163266,0.6465734693877553,0.533351020408163
176,######___________________________,6,49,26.62612244897959,6.961020408163263,0.6254020408163266,0.6465734693877553,0.533351020408163
155,######______,6,49,44.01,12.121224489795916,0.6238081632653061,0.7771938775510203,0.5920530612244899
165,######________________,6,49,26.67122448979591,6.9591836734693855,0.6254020408163266,0.6465734693877553,0.533351020408163
175,######__________________________,6,49,26.586938775510205,6.960204081632652,0.6254020408163266,0.6465734693877553,0.533351020408163
153,######____,6,49,46.10102040816328,12.399795918367353,0.6217816326530611,0.776422448979592,0.5891448979591833
163,######______________,6,49,28.922857142857143,7.2853061224489775,0.6254020408163266,0.6465734693877553,0.533351020408163
173,######________________________,6,49,26.464897959183663,6.958571428571426,0.6254020408163266,0.6465734693877553,0.533351020408163
152,######___,6,49,50.03897959183673,12.987551020408162,0.6228326530612246,0.7720326530612245,0.5876653061224488
162,######_____________,6,49,30.765714285714285,7.609183673469392,0.6254020408163266,0.6465734693877553,0.533351020408163
172,######_______________________,6,49,26.412040816326538,6.9612244897959155,0.6254020408163266,0.6465734693877553,0.533351020408163
158,######_________,6,49,42.1057142857143,11.658775510204087,0.626257142857143,0.7543224489795918,0.5843081632653063
168,######___________________,6,49,26.785306122448976,6.959999999999997,0.6254020408163266,0.6465734693877553,0.533351020408163
178,######_____________________________,6,49,26.596122448979592,6.9612244897959155,0.6254020408163266,0.6465734693877553,0.533351020408163
150,######_,6,46,58.34217391304348,14.144130434782603,0.5978673913043479,0.7927760869565216,0.5787608695652171
160,######___________,6,46,36.18847826086956,8.445652173913047,0.6108217391304348,0.7204913043478258,0.5577608695652174
170,######_____________________,6,46,27.047826086956523,6.973913043478259,0.604808695652174,0.6558086956521741,0.5252999999999998
159,######__________,6,49,39.930612244897965,11.208979591836735,0.6284469387755102,0.7397734693877552,0.578559183673469
169,######____________________,6,49,26.991224489795922,6.9585714285714255,0.6254020408163266,0.6465734693877553,0.533351020408163
179,######______________________________,6,49,26.44102040816327,6.959795918367344,0.6254020408163266,0.6465734693877553,0.533351020408163
157,######________,6,49,43.140816326530626,11.691224489795925,0.6252183673469388,0.7651591836734692,0.5882632653061226
167,######__________________,6,49,26.293469387755103,6.9608163265306064,0.6254020408163266,0.6465734693877553,0.533351020408163
177,######____________________________,6,49,26.803877551020403,6.96081632653061,0.6254020408163266,0.6465734693877553,0.533351020408163
154,######_____,6,49,43.89551020408163,12.107755102040814,0.6232979591836735,0.773583673469388,0.589295918367347
164,######_______________,6,49,26.507346938775502,6.958163265306121,0.6254020408163266,0.6465734693877553,0.533351020408163
174,######_________________________,6,49,26.725714285714275,6.9606122448979555,0.6254020408163266,0.6465734693877553,0.533351020408163
181,#######__,7,48,55.304166666666646,13.80333333333334,0.6138875,0.7799562500000002,0.5849062500000003
191,#######____________,7,48,33.80562499999999,8.115208333333328,0.6197437499999999,0.6890541666666664,0.5473624999999998
201,#######______________________,7,48,29.333125000000006,7.467083333333334,0.6197437499999999,0.6890541666666664,0.5473624999999998
186,#######_______,7,49,47.73122448979592,12.635102040816324,0.6243693877551019,0.7735000000000001,0.5906102040816326
